"Countries and regions","Population (Total)","Population (Under18)","Population (Under 5)","Annual population growth rate (2000-2020)","Annual population growth rate (2020-2030)","Annual number of births (thousands)","Total fertility (live births per woman)","Life expectancy at birth (1970)","Life expectancy at birth (2000)","Life expectancy at birth (2021)","Dependency ratio (total)","Dependency ratio (child)","Dependency ratio (old age)","Share of urban population (%)","Annual growth rate of urban population (2000-2020)","Annual growth rate of urban population (2020-2030)","Net migration rate (per 1,000 population)","Out-of-school rate: one year before primary entry age (Male)","Out-of-school rate: one year before primary entry age (Female)","Out-of-school rate: primary education (Male)","Out-of-school rate: primary education (Female)","Out-of-school rate: lower secondary education (Male)","Out-of-school rate: lower secondary education (Female)","Out-of-school rate: upper secondary education (Male)","Out-of-school rate: upper secondary education (Female)","Gini coefficient","GDP per capita"
"Peru",33715.4715,"10639.093000000001","2917.1689999999999",1.0606881250748,0.88310667327621,593.523,2.1917,47.1602,70.424,72.3769,"53.024000000000001","40.290999999999997","12.733000000000001","78.5","1.3915198865909","1.1395377466482099",2.019,"0","0.58230999999999999",NA,NA,"3.45729","3.33291","15.30081","21.040369999999999","2.17","6977.6957839999995"
"Philippines",113880.328,"41440.853999999999","11922.968000000001",1.73347375411328,1.30107077404294,2485.008,2.7476,61.6919,69.4134,69.2664,"56.16","47.841999999999999","8.3170000000000002","47.683999999999997","1.8630885626879901","1.95146472284466",-0.703,"35.62641","33.0749","3.2350099999999999","3.9037600000000001","11.81499","6.8048900000000003","23.72598","17.062989999999999","2.33","3485.084218"
"Poland",38307.7255,"6981.6970000000001","1908.41",-0.00941632267536537,0.0641553376411388,363.427,1.4587,69.5877,73.7335,76.4572,"51.988999999999997","23.36","28.629000000000001","60.075000000000003","-0.14028415303221201","0.287883955479938",-0.077,"0.81057999999999997","1.51013","1.3267100000000001","0.94869000000000003","2.2947299999999999","4.3273400000000004","2.1684399999999999","2.4743200000000001","1.02","15694.73863"
"Portugal",10290.103,"1690.1120000000001","432.60649999999998",-0.00112535358165646,-0.210765074109488,80.48,1.3631,67.0593,76.8304,81.0443,"56.015999999999998","20.818000000000001","35.198","66.849000000000004","0.941707713279192","0.45724265383488399",2.656,"7.9054399999999996","6.35548","6.0780000000000001E-2","1.1977599999999999","0.32218000000000002","0.36214000000000002",NA,NA,"1.22","23213.978200000001"
"Qatar",2688.235,"474.98649999999998","145.23099999999999",6.916302218712,0.307305469128979,26.529,1.8008,66.5321,74.8279,79.2716,"20.721","19.036000000000001","1.6850000000000001","99.278000000000006","7.05872239008138","0.33447297690848699",-11.396,"5.5777700000000001","4.59457","3.3870399999999998","0.34760999999999997","4.1243499999999997","9.7807899999999997",NA,NA,NA,"62088.061829999999"
"Republic of Korea",51830.139,"7517.0834999999997","1651.33",0.48863398629691,-0.0977504957203412,289.006,0.8799,62.2668,76.4661,83.6978,"39.945","16.643000000000001","23.302","81.414000000000001","0.59467861125021604","-2.7119755906467698E-2",0.839,"10.88626","10.417070000000001","0.90376000000000001","0.94547000000000003","4.8003099999999996","4.9438000000000004","7.26356","7.66587","1.36","31846.218229999999"
"Republic of Moldova",3061.5065,"708.81500000000005","202.47",-1.52755700377557,0.261087118926865,38.146,1.8058,63.8851,66.4168,68.8459,"50.177","29.744","20.433","42.997999999999998","-1.71710407180541","0.80701435700657798",-4.653,"0","0.66220999999999997",NA,NA,NA,NA,"12.90962","11.643000000000001","0.9","4494.0237969999998"
"Romania",19328.56,"3721.5369999999998","1029.1824999999999",-0.57121987282854,-0.197897469604673,195.366,1.748,67.5633,71.2823,74.1847,"53.728999999999999","24.638000000000002","29.091000000000001","54.329000000000001","-0.46549216421720602","0.201817793258453",-0.658,"14.9894","16.039919999999999","12.607570000000001","12.76272","10.88256","11.50418","21.298030000000001","19.07057","1.37","12913.07396"
"Russian Federation",145102.755,"30177.784500000002","7890.3024999999998",-0.039973186750237,-0.2650715240644,1397.456,1.4927,67.6871,65.2711,69.419,"49.954000000000001","26.571000000000002","23.382999999999999","74.933999999999997","5.0313565420194897E-2","1.3955874034626699E-2",2.212,"6.7445300000000001","7.3433999999999999","0.96316999999999997","0.20568","2.2476400000000001","1.4997799999999999","2.8462800000000001","2.0912199999999999","1.38","11584.99538"
"Rwanda",13461.8875,"6161.5320000000002","1888.6320000000001",2.30023132475436,1.99685222401197,403.681,3.8207,47.153,47.1292,66.0722,"72.512","67.087999999999994","5.423","17.568000000000001","3.0392929387216099","3.07131483125172",-0.454,"47.73706","46.801110000000001","6.4878400000000003","6.1964800000000002","5.5450200000000001","2.0014099999999999","50.230719999999998","49.36591","2.25","820.02524170000004"
"Saint Kitts and Nevis",47.6065,"11.28","3.0045000000000002",0.223192402274374,0.114622087870727,0.578,1.5307,61.291,69.7815,71.6822,"41.704999999999998","28.02","13.685","30.905999999999999","-6.6558733025361597E-2","0.56682488639419604",-1.889,"0","21.174389999999999",NA,NA,NA,NA,"3.7831000000000001","5.1682699999999997",NA,"19934.97453"
"Saint Lucia",179.6515,"40.459499999999998","10.452",0.555534479100342,0.202510345247722,2.064,1.399,64.2667,70.7678,71.1114,"37.689","25.189","12.500999999999999","18.940000000000001","-1.2923940208107301","0.90917661564977703",0,"1.8808499999999999","0","5.8398899999999996","0.58247000000000004","8.7103099999999998","9.5210799999999995","14.3188","18.671880000000002","3.49","11611.41545"
"Saint Vincent and the Grenadines",104.332,"27.484999999999999","7.0389999999999997",-0.400467365045672,-0.02706121744465,1.348,1.7971,68.5704,71.3772,69.6291,"48.997","32.917000000000002","16.079999999999998","53.451999999999998","0.36195263777252201","0.67551103046537397",-3.626,"1.0989","41.69697",NA,NA,"5.8045600000000004","3.8929999999999999E-2","17.920590000000001","17.484490000000001",NA,"7457.5095039999997"
"Samoa",218.764,"95.577500000000001","29.198499999999999",0.739670630728416,1.32405204590986,5.975,3.9301,60.1798,70.7458,72.7675,"74.912999999999997","65.975999999999999","8.9369999999999994","17.742000000000001","-0.240379146104895","1.01338495859628",-4.023,"65.191069999999996","64.68432",NA,NA,NA,NA,"21.47587","10.60045","1.75","4324.0140179999999"
"San Marino",33.7455,"5.42","1.0925",1.13012046785464,-0.148094628089516,0.202,1.1297,73.5171,79.9486,80.8786,"49.578000000000003","19.596","29.981999999999999","97.62","1.33260905100241","-6.6595397558169095E-2",1.216,"15.54393","0","2.4504100000000002","5.0742599999999998","8.5820900000000009","8.2568800000000007","53.262030000000003","62.041879999999999",NA,"48995.142"
"Sao Tome and Principe",223.1075,"105.07899999999999","30.378499999999999",1.99813990926309,1.7493878540034,6.318,3.8226,56.5156,61.6554,67.5912,"77.929000000000002","71.238","6.69","75.072999999999993","3.5723179466641501","2.4183795234551102",-3.543,"48.925620000000002","46.28378","6.0476799999999997","6.0182200000000003","12.325390000000001","6.7969299999999997","18.729959999999998","15.9169","4.24","1946.6436140000001"
"Saudi Arabia",35950.396,"11026.032999999999","3186.7910000000002",2.44373279954632,1.06280994973765,629.339,2.4266,52.715,72.4667,76.936,"40.411000000000001","36.76","3.6509999999999998","84.507999999999996","2.70136524993256","1.29641990124633",-4.272,"48.555109999999999","45.364040000000003","5.3774300000000004","4.9675500000000001","0.36637999999999998","2.54311","2.75041","8.6599000000000004",NA,"23139.79866"
"Senegal",16876.72,"8167.6090000000004","2570.7645000000002",2.50911265203524,2.28197340717429,549.984,4.3871,40.8254,56.9434,67.0926,"81.548000000000002","75.814999999999998","5.7320000000000002","48.6","3.3514546960325","3.20028422832578",-0.598,"84.971119999999999","83.140309999999999","29.665610000000001","19.494769999999999","63.618720000000003","56.668509999999998","81.291169999999994","78.784080000000003","1.89","1446.8309650000001"
"Serbia",7296.7685,"1253.0450000000001","345.19850000000002",-0.359511229712762,-0.673480983535703,67.609,1.5278,66.2096,71.4392,74.1923,"53.819000000000003","21.948","31.872","56.651000000000003","-3.8746792376127298E-2","-0.22829295778939901",0.033,"7.5001499999999997","7.0800900000000002","2.8731399999999998","2.9140000000000001","2.94631","2.6250599999999999","15.8047","12.87407","1.28","7411.5586489999996"
"Seychelles",106.4705,"28.9315","8.5114999999999998",1.31532818627891,0.485333766148196,1.642,2.3484,58.4831,69.7218,71.2945,"45.021000000000001","33.58","11.441000000000001","57.972000000000001","1.9436086874924201","1.1255916988383501",1.372,"3.6188199999999999","2.4296700000000002","2.3248099999999998","14.12044","8.8556100000000004","6.55124","19.545449999999999","9.1410599999999995","2.62","17448.27029"
"Sierra Leone",8420.641,"3880.4690000000001","1188.0705",2.78896069178081,1.8616419518022,264.106,3.9779,38.7927,45.0503,60.0624,"74.004000000000005","68.540000000000006","5.4640000000000004","43.372","3.6762564271769","2.8493001903069399",-0.183,"59.567459999999997","57.087119999999999","1.7421599999999999","1.5445","48.89217","49.166759999999996","64.197739999999996","66.712400000000002","1.5","527.53363439999998"
"Singapore",5941.0605,"860.37900000000002","246.0035",1.79532265733726,0.511596938555342,42.215,1.0243,68.7823,79.0691,82.7545,"35.353000000000002","16.233000000000001","19.12","100","1.79532265733726","0.51159693855534205",3.257,NA,NA,"0.27362999999999998","0.1318","0.41016999999999998","0.19148000000000001","0.10292999999999999","0.45167000000000002","1.91","65233.282440000003"
"Slovakia",5447.622,"1026.2445","289.3535",0.0703227982464944,0.162530882758401,54.351,1.5664,69.7234,73.1407,74.9101,"49.497999999999998","23.742000000000001","25.756","53.82","-0.14383947303481001","0.47484631909761499",0.321,"14.879580000000001","15.32072","3.2766899999999999","3.3009300000000001","4.4700300000000004","4.7622600000000004","11.377359999999999","11.31391","0.73","19266.0141"
"Slovenia",2119.4095,"380.02100000000002","100.79600000000001",0.309604152774367,-0.0503472577300364,19.147,1.6272,68.284,76.1957,80.6904,"55.494999999999997","23.617000000000001","31.878","55.427","0.70239419575973205","0.53922156646396602",2.158,"8.7857599999999998","8.0307700000000004","1.19004","0.38164999999999999","1.50417","0.68010000000000004","1.44916","0.95899000000000001","0.81","25940.728029999998"
"Solomon Islands",707.851,"322.73200000000003","101.2745",2.26038221783269,1.94693347902794,21.098,3.9832,56.0724,67.2249,70.3477,"74.808999999999997","68.765000000000001","6.0439999999999996","25.128","4.3782657606902404","3.4532963946165398",-1.141,"35.657429999999998","32.97907","9.0097900000000006","4.12852",NA,NA,NA,NA,"1.59","2373.63247"
"Somalia",17065.581,"9212.1689999999999","3200.1309999999999",3.04673335029952,2.72491891114318,743.932,6.3123,45.5574,50.6604,55.2803,"99.397000000000006","94.22","5.1779999999999999","46.731000000000002","4.60738757988039","3.8368025149235501",-1,NA,NA,NA,NA,NA,NA,NA,NA,"1.89","126.9249205"
"South Africa",59392.255,"19961.409","5812.6575000000003",1.08575240171243,0.863245346927631,1176.955,2.374,55.5787,58.4704,62.341,"53.011000000000003","43.872999999999998","9.1379999999999999","67.846999999999994","1.88968162048778","1.4778471396775501",0.184,"28.915780000000002","27.1082","11.744429999999999","9.8095400000000001","10.718859999999999","9.9230499999999999","21.479089999999999","20.39706","10.06","6001.4011209999999"
"South Sudan",10748.2725,"5620.5124999999998","1485.838",2.62280006110845,1.54457928665778,313.347,4.4692,26.3993,46.0277,54.9752,"90.695999999999998","85.266999999999996","5.4290000000000003","20.513999999999999","3.58484921569084","3.1615267660680599",-2.962,"77.821389999999994","81.128529999999998","57.571689999999997","67.260499999999993","48.969670000000001","63.048810000000003","56.816209999999998","71.936269999999993","2.66","1119.651333"
"Spain",47486.935,"8198.1715000000004","1896.9715000000001",0.717178210016111,-0.0552989353365143,357.652,1.2779,72.1514,79.4172,83.01,"51.537999999999997","21.376999999999999","30.16","81.055999999999997","0.99301601997384303","0.222009057172007",5.808,"5.3575200000000001","4.8963999999999999","3.0026799999999998","2.5840100000000001","1.2146999999999999","1.37094","2.1770299999999998","1.10633","1.25","29564.744900000002"
"Sri Lanka",21773.4405,"6119.7219999999998","1562.271",0.69241766392002,0.195438864711539,305.877,1.9899,65.2675,70.355,76.3991,"52.372","35.372999999999998","17","18.86","0.77791934281578401","1.28037902564673",-4.235,NA,NA,"1.6992100000000001","3.4703300000000001","0.14893999999999999","0.11397","18.08832","13.49414","2.4700000000000002","3853.083693"
"State of Palestine",5133.392,"2339.3654999999999","711.86149999999998",2.23382244092913,2.00347329577003,145.128,3.5044,55.3453,70.3885,73.4727,"74.281999999999996","68.209999999999994","6.0730000000000004","77.003","2.5381744663317298","2.3508188886801",-2.406,"32.686799999999998","30.442039999999999","4.57118","4.8580199999999998","5.1267100000000001","0.90332000000000001","30.66601","16.058910000000001","2.46","3562.3309429999999"
"Sudan",45657.2015,"21570.343499999999","7083.9684999999999",2.49823150810594,2.26226783840828,1534.332,4.4574,45.5343,58.3185,65.2667,"80.212000000000003","74.042000000000002","6.1710000000000003","35.593000000000004","2.88615722559928","3.3434177686561002",-0.333,"60.192830000000001","59.951459999999997","30.52712","35.272309999999997","33.224200000000003","35.492420000000003","53.494840000000003","49.708280000000002","1.4","441.50560339999998"
"Suriname",612.9845,"195.47499999999999","54.293999999999997",1.12827811173419,0.753256664903935,11.133,2.3482,60.4023,65.5077,70.2743,"50.938000000000002","39.970999999999997","10.967000000000001","66.218999999999994","1.1070889958289301","0.95253010705482599",-0.802,"9.8339700000000008","5.8235299999999999","13.259550000000001","10.16859","18.632750000000001","11.06859","42.000779999999999","33.547580000000004","5.84","6359.8336140000001"
"Sweden",10467.097,"2214.6035000000002","595.47550000000001",0.742977195079686,0.543040530739655,113.322,1.67,74.6642,79.7382,82.9833,"60.819000000000003","28.488","32.332000000000001","88.238","0.96178263279487397","0.77654462290283799",7.682,"0.12937000000000001","0",NA,NA,NA,NA,"1.42353","2.8478300000000001","0.95","51647.991560000002"
"Switzerland",8691.4065,"1560.1044999999999","436.49450000000002",0.879313936999063,0.516570969283358,87.086,1.4946,73.1238,79.8335,83.9872,"51.585999999999999","22.838000000000001","28.748999999999999","73.995999999999995","0.91371147598573099","0.69342305178100005",2.75,"0","0.73651",NA,NA,"0.19950999999999999","1.0496099999999999","17.391279999999998","20.456109999999999","1.1499999999999999","81989.443509999997"
"Syrian Arab Republic",21324.367,"8679.1830000000009","1892.4469999999999",1.15238107533237,3.28821368704319,426.856,2.7468,60.5274,70.7639,72.0627,"60.375999999999998","52.962000000000003","7.4139999999999997","56.124000000000002","1.46527869807212","4.2582860739367403",9.997,NA,NA,NA,NA,NA,NA,NA,NA,"1.18","1177.6292679999999"
"Tajikistan",9750.064,"4093.4369999999999","1269.0229999999999",1.99797677379701,1.63328890030499,260.838,3.1855,56.8094,63.2596,71.5942,"65.936000000000007","60.421999999999997","5.5140000000000002","27.725999999999999","2.1752229383839699","2.6524118723577499",-0.365,"86.624849999999995","88.428730000000002","1.25099","2.4881700000000002",NA,NA,"18.697759999999999","26.77582","1.35","870.78758930000004"
"Thailand",71601.103,"13764.1315","3379.0279999999998",0.596027069594509,0.074021090814718,644.325,1.3305,57.7106,72.3156,78.7154,"43.497","22.672999999999998","20.824000000000002","52.162999999999997","2.9477400513578198","1.23253597420354",0.016,"0.30204999999999999","0.2465",NA,NA,NA,NA,"20.875990000000002","20.960380000000001","1.53","7806.7422109999998"
"Timor-Leste",1320.942,"562.00699999999995","157.31049999999999",1.86695111501636,1.27109061518811,32.976,3.1486,37.1655,58.5676,67.7369,"68.292000000000002","59.396999999999998","8.8949999999999996","31.695","3.0826859479009299","2.3372001555689499",-1.511,"51.331899999999997","48.245559999999998","6.7184900000000001","3.0256699999999999","11.83839","8.5725499999999997","26.701070000000001","21.68957","1.05","1560.509822"
"Togo",8644.829,"4034.9110000000001","1270.432",2.48687726984773,2.03284385246151,275.435,4.2574,46.1198,54.742,61.6194,"76.504999999999995","71.040000000000006","5.4640000000000004","43.357999999999997","3.7385568007546102","3.18797887041895",-0.115,"1.14506","0","2.2545000000000002","4.0390600000000001","15.276249999999999","27.655200000000001","46.622639999999997","65.588170000000005","2.16","679.29024909999998"
"Tokelau",1.849,"0.65100000000000002","0.16900000000000001",0.437981064326425,1.02946082849197,0.035,2.707,61.7827,71.8916,75.2279,"60.433999999999997","47.027999999999999","13.406000000000001","0",NA,NA,0,"0","6.25",NA,NA,NA,NA,"30.55556","28.571429999999999",NA,NA
"Tonga",106.017,"43.640999999999998","12.1815",0.121496084187505,0.73553727239823,2.454,3.2367,63.2318,68.978,70.9857,"68.980999999999995","58.500999999999998","10.48","23.103999999999999","0.13946516774164699","1.0164840850731101",-8.901,"0","11.085419999999999",NA,NA,"16.882490000000001","4.2455299999999996","49.340139999999998","32.801819999999999","1.63","4903.1529030000002"
"Trinidad and Tobago",1525.663,"353.23649999999998","92.322500000000005",0.622175831615829,0.175208949869101,17.814,1.6263,65.057,69.1022,72.9709,"43.677999999999997","27.728999999999999","15.949","53.265000000000001","0.38726010791601201","0.44219689833818798",1.727,"20.754909999999999","20.23771",NA,NA,NA,NA,"26.506419999999999","25.005600000000001","1.89","17397.981759999999"
"Tunisia",12262.946,"3573.8054999999999","1034.8215",0.983020159573867,0.676157216941453,197.396,2.0859,53.8695,73.6901,73.7719,"50.866999999999997","37.594000000000001","13.273","69.888000000000005","1.42271647161504","1.1120594813396101",-0.749,NA,NA,NA,NA,NA,NA,NA,NA,"1.27","3317.4535930000002"
"Türkiye",84775.4035,"23673.24","6609.7974999999997",1.2941526165921,0.498691043188069,1244.782,1.8892,56.8948,71.8613,76.0324,"46.755000000000003","34.459000000000003","12.295999999999999","76.569000000000003","2.0642443830294201","0.98046751957131195",-0.822,"22.98217","25.259930000000001","4.54793","5.0267299999999997","3.00352","3.9970500000000002","17.098410000000001","19.317879999999999","2.02","9126.5613460000004"
"Turkmenistan",6341.855,"2282.4735000000001","687.74149999999997",1.49203947038575,1.07465291205537,136.968,2.6674,57.6632,65.0258,69.2644,"56.57","48.875999999999998","7.694","52.997999999999998","2.13189463088553","1.95846620154841",-0.71,NA,NA,NA,NA,NA,NA,NA,NA,"1.95","6966.6354110000002"
"Turks and Caicos Islands",45.114,"9.0150000000000006","2.6970000000000001",4.09311279146131,0.835390309625633,0.559,1.6691,56.3101,73.5746,74.5874,"36.787999999999997","22.905999999999999","13.882","93.834000000000003","4.5775924367738998","0.99958511065056099",15.233,"8.1641399999999997","0","9.4692399999999992","8.6435300000000002","8.7256","15.311","48.031500000000001","41.311480000000003",NA,"31353.329320000001"
"Tuvalu",11.2035,"4.1180000000000003","1.2484999999999999",0.659213286596886,0.67106857913802,0.263,3.1635,54.9404,63.4988,64.5466,"60.911999999999999","50.901000000000003","10.010999999999999","64.784999999999997","2.2309713110732599","1.54689288029301",-1.338,"9.7760800000000003","0","18.430879999999998","16.361260000000001","30.57199","35.983260000000001","67.877089999999995","61.290320000000001","1.77","4059.0299960000002"
"Uganda",45853.778,"24092.460500000001","7689.6890000000003",2.92584505174144,2.48758662993008,1686.795,4.5845,49.616,48.3415,62.7048,"88.212999999999994","85.057000000000002","3.157","25.553000000000001","5.4180038272362996","4.5163100906574298",0.948,NA,NA,"15.56616","12.21721","48.521909999999998","48.990079999999999","72.418549999999996","77.543509999999998","2.14","794.34107789999996"
"Ukraine",43531.422,"7898.1210000000001","1797.8035",-0.510613444481271,-1.24367237013328,336.096,1.2507,69.3172,67.8555,71.624,"48.415999999999997","22.594000000000001","25.821999999999999","69.757000000000005","-0.339065619573725","-0.97562042967303797",0.019,NA,NA,"8.9479600000000001","7.0115999999999996","4.0387700000000004","3.2292000000000001","7.3824899999999998","4.3112700000000004","0.92","3659.0313120000001"
"United Arab Emirates",9365.1445,"1599.154","482.15",4.96298641795397,0.67609280612931,96.536,1.4597,60.0213,74.38,78.7104,"20.338999999999999","18.222999999999999","2.1160000000000001","87.299000000000007","5.3510216497933003","0.90238453466714996",-0.295,"0.25344","0.27040999999999998",NA,NA,"1.7302299999999999","2.8227799999999998","2.5192399999999999","1.83229","1.17","43103.323060000002"
"United Kingdom",67281.0395,"14168.912","3651.6529999999998",0.621844401961396,0.282461450134286,677.219,1.562,71.8843,77.8525,80.7422,"57.671999999999997","27.847000000000001","29.824999999999999","84.152000000000001","0.92965881008363405","0.53695600479106498",3.007,"4.7099999999999998E-3","0","1.01352","1.2606200000000001","1.75478","1.8895299999999999","3.80267","3.0464600000000002","1.34","42328.900260000002"
"United Republic of Tanzania",63588.334,"32079.2035","10537.3045",2.77357352975845,2.57238529913153,2303.114,4.7259,46.4495,52.3623,66.2007,"87.704999999999998","81.852999999999994","5.8520000000000003","35.954000000000001","4.9489194799444798","4.2673253432437699",-0.076,"45.494979999999998","41.813400000000001","17.609159999999999","14.513590000000001","65.780010000000004","63.890389999999996","83.840530000000001","87.728160000000003","1.91","1122.1218100000001"
"United States",336997.624,"74734.921499999997","19164.415000000001",0.826757862972812,0.428669229863392,3722.822,1.6619,70.7353,76.8114,77.1982,"53.661999999999999","28.033000000000001","25.629000000000001","82.873000000000005","1.03921066119842","0.66680625126670101",1.668,"10.37724","10.04913","0.98131000000000002","0.84899000000000002",NA,NA,"2.59924","4.9494800000000003","2.0099999999999998","65297.517509999998"
"Uruguay",3426.2595,"810.69050000000004","194.99299999999999",0.193954395526957,-0.0151624448489017,35.892,1.4927,68.9036,75.0247,75.4356,"53.598999999999997","29.853999999999999","23.744","95.602999999999994","0.37105165574073101","5.9057981885775802E-2",-0.434,"8.6964699999999997","0","1.00179","0.10793999999999999","1.3054300000000001","0.16816999999999999","13.39377","7.87026","1.78","16190.12696"
"Uzbekistan",34081.449,"11808.825999999999","3847.0374999999999",1.4116536975895,1.21322148420398,802.875,2.8565,60.9341,65.7235,70.8616,"53.970999999999997","46.301000000000002","7.6710000000000003","50.427","1.83513847222015","1.45379978184077",-1.15,"36.65945","37.688670000000002","0.24092","1.81819","7.6630000000000004E-2","2.4001700000000001","13.947419999999999","14.67173","1.46","1724.856544"
"Vanuatu",319.1365,"145.31049999999999","45.250500000000002",2.30529689514014,2.06416752894834,9.398,3.7355,55.1864,68.9657,70.449,"76.488","69.917000000000002","6.5709999999999997","25.664999999999999","3.0843022182090198","2.7075780225650399",-0.617,"3.8159399999999999","0","2.9336899999999999","3.9163800000000002","26.554749999999999","23.59121","58.460369999999998","52.466740000000001","1.64","3115.35862"
"Venezuela (Bolivarian Republic of)",28199.8665,"9559.5830000000005","2395.9335000000001",0.732619834499971,1.06386008348659,451.855,2.2108,64.299,72.4775,70.5536,"57.502000000000002","44.37","13.132999999999999","88.325000000000003","0.77161698631415199","1.14189147654959",-18.451,"14.084490000000001","14.33032","9.6184399999999997","9.6020099999999999","14.9115","13.205880000000001","27.590170000000001","18.970700000000001","1.64","16054.49051"
"Viet Nam",97468.0285,"26183.122500000001","7368.1565000000001",0.960096602550286,0.552078113153514,1462.623,1.9437,56.2218,72.462,73.6181,"45.557000000000002","32.816000000000003","12.741","38.052","2.9912782583229802","2.1376445082401099",-0.01,"0","0.19869999999999999",NA,NA,NA,NA,NA,NA,"1.48","2715.2760360000002"
"Yemen",32981.6415,"15348.0155","4714.0585000000001",2.6184272939704,1.93077783966113,1008.936,3.7948,40.5009,62.588,63.7534,"74.097999999999999","69.417000000000002","4.6820000000000004","38.545999999999999","4.3653262136723896","3.3588307076885902",-3.072,"95.667910000000006","96.083979999999997","10.298999999999999","21.12059","22.633859999999999","34.47587","45.608370000000001","67.675060000000002","1.57","774.33448980000003"
"Zambia",19473.125,"9767.5044999999991","3072.8989999999999",3.09042046703743,2.41109800376096,672,4.308,51.4927,45.2312,61.2234,"81.822000000000003","78.661000000000001","3.1619999999999999","45.192","4.2747491124836499","3.5306773297576801",0.463,NA,NA,"16.797999999999998","12.968249999999999",NA,NA,NA,NA,"5","1305.0632539999999"
"Zimbabwe",15993.524,"7622.2610000000004","2299.712",1.33663253863229,1.83736072616463,488.807,3.4908,57.0318,44.6864,59.2531,"79.394000000000005","73.36","6.0339999999999998","32.302999999999997","1.1178350347612001","2.3834169797898999",-1.562,NA,NA,"14.504429999999999","12.76421",NA,NA,"40.338200000000001","45.028280000000002","2.31","1463.9859100000001"
"East Asia and Pacific",2351075.1045,"544718.08900000004","141163.22450000001",0.71077508137259,0.170017499566713,24170.775,1.516,57.473,71.525,76.478,"46.835999999999999","28.498000000000001","18.338000000000001","61.480562615423402","2.52438603773308","1.14341720614985",-0.007,"17.170729999999999","14.891159999999999","2.82741","3.6605599999999998","10.01637","8.3079599999999996","22.631519999999998","14.51666","1.67","11386.13"
"Europe and Central Asia",921948.373,"196264.71650000001","52834.563000000002",0.319026922267374,0.0591234378258062,10098.228,1.698,67.916,72.493,76.447,"53.741","27.54","26.201000000000001","72.801483242403606","0.58427529357756303","0.35447909562117003",1.374,"12.510579999999999","13.072609999999999","2.4746100000000002","2.2758600000000002","2.0113099999999999","2.1198399999999999","9.1861599999999992","9.2399699999999996","1.26","24693.65"
"Eastern Europe and Central Asia",425236.95,"104629.67449999999","29039.306",0.304608372213822,0.0698918786192728,5528.213,1.89,64.347,66.925,71.475,"50.784999999999997","31.584","19.2","67.474447753699394","0.56789722898029704","0.38765978499068598",0.199,"19.674379999999999","20.743980000000001","3.74566","3.5730400000000002","1.96089","2.4363299999999999","13.21232","13.678290000000001","1.41","8437.3860000000004"
"Western Europe",496711.423,"91635.042000000001","23795.257000000001",0.331399333386066,0.0498989682487103,4570.015,1.52,71.212,77.715,80.858,"56.366","23.949000000000002","32.417000000000002","77.360429028209097","0.59653187205342295","0.32964364147048197",2.382,"3.7479","3.7284199999999998","1.37612","1.1569499999999999","2.0775299999999999","1.7024999999999999","5.9508400000000004","5.6608999999999998","1.1299999999999999","38421.46"
"Latin America and Caribbean",651297.4425,"185463.46049999999","49512.233",1.06546350236138,0.620063396954187,9661.815,1.866,58.482,71.08,72.095,"48.2","34.997","13.202999999999999","81.362854754915105","1.3935293388177501","0.880820208353704",-0.409,"5.0032199999999998","4.6388400000000001","3.2366999999999999","2.4345599999999998","7.4943499999999998","6.0152799999999997","22.626670000000001","19.982780000000002","3.11","8809.6949999999997"
"Middle East and North Africa",484289.9725,"170266.91699999999","49222.695",1.91282348896729,1.25213093342482,9762.777,2.659,50.911,69.142,72.606,"54.759","46.564999999999998","8.1950000000000003","65.750747101849001","2.45973094600676","1.6432285110215901",-0.782,"50.722940000000001","50.710680000000004","4.1539200000000003","6.1185099999999997","8.3816699999999997","12.069290000000001","27.871559999999999","33.205249999999999","1.54","7755.6639999999998"
"North America",375152.636,"81949.539499999999","21065.6525",0.844468253398601,0.458557508164182,4096.55,1.643,70.898,77.042,77.73,"53.502000000000002","27.611999999999998","25.89","82.752696691696798","1.0476536065563899","0.68660055158711197",2.019,"8.9533299999999993","8.4977300000000007","1.35829","0.41277000000000003","0.45771000000000001","0.45784000000000002","3.3703699999999999","5.5447499999999996","1.92","63368.73"
"South Asia",1901529.0455,"631013.52049999998","170668.59950000001",1.38613386260867,0.909700995720489,34881.593,2.245,48.015,62.795,67.299,"51.223999999999997","41.628","9.5960000000000001","35.3552429231","2.5333572039388002","2.1532506454101599",-0.487,"12.43371","12.915620000000001","8.5147700000000004","9.1615599999999997","17.521159999999998","15.087590000000001","42.735129999999998","41.744370000000004","3.19","1961.3879999999999"
"Sub-Saharan Africa",1182308.363,"575567.70250000001","185102.64550000001",2.56855570649028,2.23053092993391,40950.187,4.588,43.871,50.814,59.846,"82.167000000000002","76.605999999999995","5.5609999999999999","41.912343873473802","3.8609817692021502","3.35522564544475",-0.375,"51.118980000000001","50.877429999999997","18.044519999999999","22.04973","35.311050000000002","37.919020000000003","54.685160000000003","60.985289999999999","2.56","1604.33"
"Eastern and Southern Africa",608005.2305,"286706.26750000002","90099.337",2.4632626084619,2.12318756068172,19573.097,4.089,46.51,51.413,62.692,"77.709000000000003","72.022000000000006","5.6870000000000003","36.085175696082302","3.5831909519626199","3.3163351411966699",-0.186,"48.985190000000003","48.93967","15.526120000000001","17.60585","33.943660000000001","36.779649999999997","55.52413","59.744570000000003","3.04","1628.4359999999999"
