"Countries and regions","Population (Total)","Population (Under18)","Population (Under 5)","Annual population growth rate (2000-2020)","Annual population growth rate (2020-2030)","Annual number of births (thousands)","Total fertility (live births per woman)","Life expectancy at birth (1970)","Life expectancy at birth (2000)","Life expectancy at birth (2021)","Dependency ratio (total)","Dependency ratio (child)","Dependency ratio (old age)","Share of urban population (%)","Annual growth rate of urban population (2000-2020)","Annual growth rate of urban population (2020-2030)","Net migration rate (per 1,000 population)","Out-of-school rate: one year before primary entry age (Male)","Out-of-school rate: one year before primary entry age (Female)","Out-of-school rate: primary education (Male)","Out-of-school rate: primary education (Female)","Out-of-school rate: lower secondary education (Male)","Out-of-school rate: lower secondary education (Female)","Out-of-school rate: upper secondary education (Male)","Out-of-school rate: upper secondary education (Female)","Gini coefficient","GDP per capita"
"Jamaica",2827.6945,"712.15499999999997","169.255",0.365221968551406,-0.0519745887236011,33.15,1.352,66.7021,70.9442,70.5003,"37.999000000000002","28.013000000000002","9.9860000000000007","56.652000000000001","0.76155299200180404","0.57761158813194502",-2.001,NA,NA,"37.442149999999998","29.017880000000002",NA,NA,"57.412930000000003","33.266199999999998","1.66","5582.2637779999995"
"Japan",124612.5305,"17962.487000000001","4286.3035",-0.0589123062462557,-0.50210951642471,818.509,1.2974,71.9874,81.1759,84.7839,"71.119","20.146999999999998","50.970999999999997","91.867000000000004","0.67642714662944103","-0.411242047172378",0.703,NA,NA,NA,NA,NA,NA,NA,NA,"1.32","40246.880129999998"
"Jordan",11148.2775,"4289.2735000000002","1195.0989999999999",3.67040098642228,0.799513204233656,244.557,2.8297,59.8699,71.9178,74.2563,"57.066000000000003","51.218000000000004","5.8490000000000002","91.626000000000005","4.4098200711678599","0.97374803487685402",1.29,"50.62641","50.090330000000002","19.605250000000002","20.57892","27.836030000000001","27.862570000000002","46.122430000000001","40.675879999999999","1.86","4405.4884119999997"
"Kazakhstan",19196.4655,"6497.5294999999996","2008.6724999999999",1.04603946298862,0.975125003275361,413.483,3.0836,60.5068,64.1781,69.3622,"59.954999999999998","47.238999999999997","12.715999999999999","57.820999999999998","1.17772654034989","1.33867077353259",-0.985,"21.98864","22.540459999999999","9.9063599999999994","9.3024299999999993",NA,NA,NA,NA,"0.98","9812.5265880000006"
"Kenya",53005.614,"24049.733499999998","6913.1059999999998",2.48467339191568,1.76193647539204,1468.358,3.3351,53.5749,54.4112,61.427,"70.180999999999997","65.340999999999994","4.84","28.492999999999999","4.1118556869078997","3.3741004194791899",-0.991,NA,NA,NA,NA,NA,NA,NA,NA,"1.92","1816.546916"
"Kiribati",128.874,"53.457500000000003","16.665500000000002",1.68228551450512,1.4737113854704,3.51,3.3038,54.5273,64.4091,67.4172,"66.427999999999997","60.198","6.2290000000000001","56.335000000000001","2.91015402680179","2.4899041260075601",-2.294,"4.4344200000000003","0",NA,NA,NA,NA,NA,NA,"1.61","1655.078839"
"Kuwait",4250.114,"1042.7405000000001","258.86599999999999",3.86913133767818,0.415912931656857,44.412,2.1096,66.5303,76.722,78.6729,"34.368000000000002","28.379000000000001","5.99","100","3.91699007983771","0.415912931656857",-8.636,"33.179929999999999","27.907450000000001","4.37744","0.88499000000000005","8.5291999999999994","3.8315999999999999","19.545559999999998","16.96256","2.37","32000.448469999999"
"Kyrgyzstan",6527.7435,"2574.1385","804.79150000000004",1.2561308002667,1.32793151627729,157.661,2.9912,58.1788,65.3982,69.9774,"63.531999999999996","56.360999999999997","7.1710000000000003","37.146000000000001","1.4618075741869001","2.2730672016159001",-2.526,"13.518409999999999","12.264860000000001",NA,NA,"0.19184999999999999","0.83753999999999995","29.504349999999999","25.04646","1.01","1309.53496"
"Lao People's Democratic Republic",7425.0575,"2739.0245","789.70500000000004",1.42110480442621,1.16626045005453,163.261,2.4961,43.563,58.3779,68.0608,"54.735999999999997","47.994","6.742","36.939","3.8094179914781399","2.6855312908741502",-1.387,"29.86975","29.0349","7.51424","8.9921600000000002","30.462250000000001","30.525549999999999","45.193539999999999","49.3581","1.56","2534.8982799999999"
"Latvia",1873.919,"348.34449999999998","93.310500000000005",-1.10500034375058,-0.989876325899367,17.024,1.5827,70.0141,70.2517,73.5786,"59.341000000000001","24.899000000000001","34.441000000000003","68.421000000000006","-1.0876820219394401","-0.77616387276501597",-3.63,"2.9184399999999999","1.4759800000000001","1.53329","0.80117000000000005","1.9977799999999999","1.4697800000000001","5.7329499999999998","3.7897599999999998","1.42","17819.271379999998"
"Lebanon",5592.631,"1846.616","445.13600000000002",1.28826798082801,-1.66684148095473,84.45,2.0912,66.7592,73.9309,75.0472,"59.338000000000001","44.006999999999998","15.332000000000001","89.093000000000004","1.44753475026139","-1.4967956232256101",-20.377,NA,NA,NA,NA,NA,NA,NA,NA,"1.21","7583.6947220000002"
"Lesotho",2281.4545,"915.61850000000004","274.80349999999999",0.572803973169176,0.948345898838349,59.581,3.0176,51.0116,48.4266,53.062,"62.091000000000001","55.271000000000001","6.8209999999999997","29.48","2.4556035065405202","2.3858827582243398",-0.653,"58.143689999999999","57.12182","7.66526","5.9765300000000003","17.611889999999999","11.457560000000001","38.368540000000003","29.405740000000002","2.44","1118.1312840000001"
"Liberia",5193.4155,"2491.6084999999998","745.35400000000004",2.68447941500759,1.91724636690208,162.685,4.0885,40.5988,51.356,60.7472,"79.706000000000003","73.701999999999998","6.0039999999999996","52.573","3.4524298313909401","2.7840357277255601",-2.281,"21.139050000000001","21.265820000000001","21.639030000000002","21.0684","17.02007","25.67108","20.06859","31.108129999999999","1.44","621.89295360000006"
"Libya",6735.277,"2331.6734999999999","614.40150000000006",1.21563372145755,0.95972134081711,120.072,2.4624,55.1887,70.6804,71.9112,"50.780999999999999","43.51","7.2709999999999999","80.994","1.4766552465384899","1.28505970318471",-0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7685.949267"
"Liechtenstein",39.0395,"6.8514999999999997","1.8714999999999999",0.761787204807483,0.518344763012155,0.358,1.4946,65.2041,76.9804,83.2575,"50.165999999999997","21.846","28.32","14.471","0.53159279083470901","1.1768611707297201",5.921,"0","6.0428199999999999","2.8481000000000001","1.82599","1.42672","6.5530799999999996","2.0833300000000001","16.006879999999999",NA,"181402.83"
"Lithuania",2786.6505,"498.78300000000002","139.88849999999999",-1.16191182909934,-0.884025162231222,26.862,1.6222,70.6731,72.0888,73.7201,"55.697000000000003","23.638999999999999","32.058","68.248999999999995","-1.08714847325007","-0.544167923477893",-4.245,"3.69624","3.9539300000000002",NA,NA,NA,NA,"3.5477400000000001","1.99241","1.46","19550.727780000001"
"Luxembourg",639.321,"121.5805","33.381500000000003",1.75983370118081,0.914136760842728,6.589,1.3877,69.5799,77.8112,82.6287,"44.215000000000003","22.95","21.265000000000001","91.671999999999997","2.1524063305196499","1.0872327732786",10.928,"0.44893","0","1.1222700000000001","0.99038000000000004","1.34392","3.6072600000000001","20.652480000000001","17.307690000000001","1.23","114685.1684"
"Madagascar",28915.6525,"13291.7395","4150.9584999999997",2.63899702787376,2.11141881912528,895.045,3.8514,47.5067,57.9382,64.4853,"74.513999999999996","68.754999999999995","5.7590000000000003","39.207000000000001","4.3115333750634202","3.5699704808466599",-0.026,"43.326830000000001","38.005369999999999",NA,NA,"31.060490000000001","28.994330000000001","63.243099999999998","64.336309999999997","2.13","523.35906450000004"
"Malawi",19889.742,"10051.8505","3034.1039999999998",2.59788470594947,2.29593713191198,653.703,3.9165,36.7308,44.5181,62.9044,"84.685000000000002","79.701999999999998","4.9829999999999997","17.695","3.4374775722156499","3.94192213535608",-0.089,NA,NA,NA,NA,"18.989740000000001","18.138649999999998","62.094859999999997","75.793239999999997","2.35","411.55234039999999"
"Malaysia",33573.8735,"9310.5264999999999","2572.0610000000001",1.75925276134115,0.908075575064306,511.313,1.803,63.1106,72.7755,74.8839,"43.290999999999997","32.902000000000001","10.388999999999999","77.695999999999998","2.8026710449598502","1.4373927730573299",1.376,"10.18394","9.1459299999999999","1.82884","1.36626","12.818059999999999","9.5690100000000005","42.135820000000002","36.699849999999998","1.96","11414.206980000001"
